Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
2,510,1004,3097,2051,999,1000,0,0,0
3,510,999,3043,2051,999,980,0,0,0
4,510,992,2166,2051,1999,0,0,980,0
5,510,996,3230,1999,999,1000,0,0,0
6,510,975,3154,2083,999,0,1232,0,0
7,510,978,2148,2000,1973,0,0,1003,0
8,510,0,3400,2000,999,975,0,1006,0
9,510,1421,3004,1980,1387,0,0,0,1543
10,510,0,3152,1978,2480,0,0,0,0
1,520,1488,3003,1992,2007,0,996,0,0
2,520,1000,3021,2004,981,0,0,0,999
3,520,0,3000,2002,1997,0,0,1000,0
4,520,977,3575,2040,2588,0,0,1000,0
5,520,1004,1999,1999,1510,0,0,0,999
6,520,0,2999,2001,1999,0,0,998,0
7,520,0,1999,3005,2020,0,0,0,0
8,520,2000,3212,3051,2000,0,982,0,0
9,520,1013,2989,2190,1119,997,0,0,0
10,520,997,2444,3001,1977,0,0,0,0
1,530,1018,2367,2047,1979,1002,0,0,0
2,530,1017,3154,2002,1976,0,0,1018,0
3,530,1004,1995,1999,977,1006,0,0,1401
4,530,0,3142,2999,1000,995,0,0,1004
5,530,0,2999,2000,1110,0,0,0,0
6,530,1002,1999,978,2527,0,996,0,0
7,530,1004,1999,2999,2000,0,0,0,999
8,530,0,3000,1982,2017,0,0,0,0
9,530,1000,2978,2997,1000,997,0,0,0
10,530,1299,2032,2032,1051,1000,0,0,0
1,540,998,2617,2050,2000,0,0,0,0
2,540,1514,3037,3895,3125,0,0,0,1577
3,540,0,3129,3125,1008,999,0,0,0
4,540,1005,2996,3840,2008,0,0,0,0
5,540,0,2001,2999,1999,0,0,999,0
6,540,1000,2003,2997,999,1000,0,0,1000
7,540,0,3003,2995,2003,1006,0,0,1213
8,540,1001,4465,5416,2001,1000,0,0,1394
9,540,1347,3671,3647,2150,1034,0,0,1112
10,540,1213,4388,3030,7545,999,0,0,0
1,550,2996,7000,7003,13367,995,1000,1001,0
2,550,2002,9051,3754,3001,999,0,0,0
3,550,1002,3040,4025,2718,0,0,995,0
4,550,1058,4000,2998,4443,998,996,0,0
5,550,2239,4100,2309,1146,1489,0,513,0
6,550,1014,3999,1998,2294,0,0,0,1424
7,550,0,3317,2997,2007,0,993,0,0
8,550,998,3861,2160,2539,0,1020,0,0
9,550,1198,3019,2998,2000,0,0,1000,0
10,550,1000,3003,1996,1999,0,0,1006,0
1,560,999,4558,3173,3684,0,0,1023,0
2,560,1196,5667,2269,2233,0,1001,0,0
3,560,1001,3992,5014,2000,0,0,996,0
4,560,1003,4999,4531,2488,0,1000,0,0
